FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_URL,FANGJIA_PRICE
新都大道与兴乐路交汇处,富豪公馆,http://cd.fang.lianjia.com/loupan/p_fhggaarvj/, 9500
宝光桂湖文化区新新路560号,恒大御府一期,http://cd.fang.lianjia.com/loupan/p_hdyfyqabgru/, 8500
郫筒镇和平南三街399号,润弘丽都,http://cd.fang.lianjia.com/loupan/p_rhldaalkn/, 4500
双楠果堰街,中海熙苑一期,http://cd.fang.lianjia.com/loupan/p_zhxyaarwp/, 17500
金融城交子大道（天府国际金融中心旁）,中国华商金融中心,http://cd.fang.lianjia.com/loupan/p_zghsjrzxaaxem/, 35000
红星路南延线与应龙路交叉口,北大资源颐和翡翠府,http://cd.fang.lianjia.com/loupan/p_bdzyyhfcfaarjo/, 18000
峨眉山路369号,佳年华广场一期,http://cd.fang.lianjia.com/loupan/p_jnhgcaatma/, 11800
北星大道与大天路交汇处,保利大都汇,http://cd.fang.lianjia.com/loupan/p_blddhaasgm/, 10500
翡翠南路133号,保利拉斐公馆,http://cd.fang.lianjia.com/loupan/p_bllfggaamhr/, 7200
剑南大道与牧华路交汇处（北大附中对面）,九龙仓时代上城,http://cd.fang.lianjia.com/loupan/p_jlcsdscaacmu/, 12500
望从东路308号,一里阳光,http://cd.fang.lianjia.com/loupan/p_ylygaaesm/, 6100
益州大道中段1918号,嘉祥瑞庭南城,http://cd.fang.lianjia.com/loupan/p_jxrtncaaedz/, 17000
北星大道与兴城大道交汇处（海宁皮革城斜对面）,合能珍宝锦城,http://cd.fang.lianjia.com/loupan/p_hnzbjcaarwn/, 6000
荆顺东街235号,维多利亚富御,http://cd.fang.lianjia.com/loupan/p_wdlyfyaaarq/, 9200
蜀龙大道中段（198公园对面）,中洲中央公园,http://cd.fang.lianjia.com/loupan/p_zzzygyaabkm/, 10000
草金路（永康森林公园旁、江安河畔）,蜀镇,http://cd.fang.lianjia.com/loupan/p_szaaqsa/, 12800
南湖北路121号,南湖世纪,http://cd.fang.lianjia.com/loupan/p_nhsjaabsn/, 11500
兴园三路66号（ 新筑股份对面）,新筑鼎峰,http://cd.fang.lianjia.com/loupan/p_xzblxydfaabie/, 4800
